Region,Province,Mun,Mun_Code_New,Mun_Code_Old,Total Occupied Housing Units
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,SUMISIP,PH1900705000,PH150705000,"8,413"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,TIPO-TIPO,PH1900706000,PH150706000,"4,100"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,TUBURAN,PH1900707000,PH150707000,"4,011"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,AKBAR,PH1900708000,PH150708000,"2,676"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,AL-BARKA,PH1900709000,PH150709000,"4,038"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,HADJI MOHAMMAD AJUL,PH1900710000,PH150710000,"3,667"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,UNGKAYA PUKAN,PH1900711000,PH150711000,"3,761"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,HADJI MUHTAMAD,PH1900712000,PH150712000,"4,237"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,TABUAN-LASA,PH1900713000,PH150713000,"3,508"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,BACOLOD-KALAWI (BACOLOD GRANDE),PH1903601000,PH153601000,"2,032"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,BALABAGAN,PH1903602000,PH153602000,"4,813"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,BALINDONG (WATU),PH1903603000,PH153603000,"3,391"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,BAYANG,PH1903604000,PH153604000,"2,217"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,BINIDAYAN,PH1903605000,PH153605000,"2,389"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,BUBONG,PH1903606000,PH153606000,"2,575"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,BUTIG,PH1903607000,PH153607000,"2,719"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,GANASSI,PH1903609000,PH153609000,"2,796"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,KAPAI,PH1903610000,PH153610000,"1,850"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,LUMBA-BAYABAO (MAGUING),PH1903611000,PH153611000,"3,124"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,LUMBATAN,PH1903612000,PH153612000,"2,367"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,MADALUM,PH1903613000,PH153613000,"3,173"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,MADAMBA,PH1903614000,PH153614000,"2,358"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,MALABANG,PH1903615000,PH153615000,"6,838"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,MARANTAO,PH1903616000,PH153616000,"4,130"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,CITY OF MARAWI (Capital),PH1903617000,PH153617000,"21,333"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,MASIU,PH1903618000,PH153618000,"3,745"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,MULONDO,PH1903619000,PH153619000,"1,566"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,PAGAYAWAN (TATARIKAN),PH1903620000,PH153620000,"1,576"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,PIAGAPO,PH1903621000,PH153621000,"3,503"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,POONA BAYABAO (GATA),PH1903622000,PH153622000,"2,922"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,PUALAS,PH1903623000,PH153623000,"1,782"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,DITSAAN-RAMAIN,PH1903624000,PH153624000,"2,493"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,SAGUIARAN,PH1903625000,PH153625000,"2,995"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,TAMPARAN,PH1903626000,PH153626000,"2,725"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,TARAKA,PH1903627000,PH153627000,"2,395"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,TUBARAN,PH1903628000,PH153628000,"2,312"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,TUGAYA,PH1903629000,PH153629000,"2,051"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,WAO,PH1903630000,PH153630000,"9,188"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,MAROGONG,PH1903631000,PH153631000,"3,706"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,CALANOGAS,PH1903632000,PH153632000,"2,138"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,BUADIPOSO-BUNTONG,PH1903633000,PH153633000,"1,700"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,MAGUING,PH1903634000,PH153634000,"2,399"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,PICONG (SULTAN GUMANDER),PH1903635000,PH153635000,"2,697"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,LUMBAYANAGUE,PH1903636000,PH153636000,"1,849"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,AMAI MANABILANG 1 (BUMBARAN),PH1903637000,PH153637000,"1,802"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,TAGOLOAN II,PH1903638000,PH153638000,"1,189"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,KAPATAGAN,PH1903639000,PH153639000,"3,205"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,SULTAN DUMALONDONG,PH1903640000,PH153640000,"1,413"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,LUMBACA-UNAYAN,PH1903641000,PH153641000,"1,096"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,AMPATUAN,PH1903801000,PH153801000,"4,804"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,BULDON,PH1903802000,PH153802000,"5,679"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,BULUAN,PH1903803000,PH153803000,"8,830"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,CITY OF COTABATO,PH1903804000,PH129804000,"53,354"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,DATU PAGLAS,PH1903805000,PH153805000,"5,561"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,DATU PIANG,PH1903806000,PH153806000,"4,327"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,DATU ODIN SINSUAT (DINAIG),PH1903807000,PH153807000,"18,891"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,SHARIFF AGUAK (MAGANOY) (Capital),PH1903808000,PH153808000,"5,322"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,MATANOG,PH1903809000,PH153809000,"5,164"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,PAGALUNGAN,PH1903810000,PH153810000,"7,557"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,PARANG,PH1903811000,PH153811000,"15,387"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,SULTAN KUDARAT (NULING),PH1903812000,PH153812000,"16,743"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,SULTAN SA BARONGIS (LAMBAYONG),PH1903813000,PH153813000,"3,972"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,KABUNTALAN (TUMBAO),PH1903814000,PH153814000,"3,358"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,UPI,PH1903815000,PH153815000,"11,343"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,TALAYAN,PH1903816000,PH153816000,"5,080"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,SOUTH UPI,PH1903817000,PH153817000,"7,801"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,BARIRA,PH1903818000,PH153818000,"5,709"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,GEN. S.K. PENDATUN,PH1903819000,PH153819000,"4,883"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,MAMASAPANO,PH1903820000,PH153820000,"4,320"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,TALITAY,PH1903821000,PH153821000,"2,896"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,PAGAGAWAN,PH1903822000,PH153822000,"5,805"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,PAGLAT,PH1903823000,PH153823000,"3,090"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,SULTAN MASTURA,PH1903824000,PH153824000,"4,196"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,GUINDULUNGAN,PH1903825000,PH153825000,"3,537"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,DATU SAUDI-AMPATUAN,PH1903826000,PH153826000,"4,848"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,DATU UNSAY,PH1903827000,PH153827000,"2,244"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,DATU ABDULLAH SANGKI,PH1903828000,PH153828000,"4,916"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,RAJAH BUAYAN,PH1903829000,PH153829000,"4,569"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,DATU BLAH T. SINSUAT,PH1903830000,PH153830000,"4,741"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,DATU ANGGAL MIDTIMBANG,PH1903831000,PH153831000,"4,220"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,MANGUDADATU,PH1903832000,PH153832000,"4,135"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,PANDAG,PH1903833000,PH153833000,"4,140"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,NORTHERN KABUNTALAN,PH1903834000,PH153834000,"3,547"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,DATU HOFFER AMPATUAN,PH1903835000,PH153835000,"4,155"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,DATU SALIBO,PH1903836000,PH153836000,"3,154"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,SHARIFF SAYDONA MUSTAPHA,PH1903837000,PH153837000,"4,485"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),SULU,INDANAN,PH1906601000,PH156601000,"12,336"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),SULU,JOLO (Capital),PH1906602000,PH156602000,"17,875"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),SULU,KALINGALAN CALUANG,PH1906603000,PH156603000,"6,313"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),SULU,LUUK,PH1906604000,PH156604000,"5,533"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),SULU,MAIMBUNG,PH1906605000,PH156605000,"7,733"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),SULU,HADJI PANGLIMA TAHIL (MARUNGGAS),PH1906606000,PH156606000,"1,243"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),SULU,OLD PANAMAO,PH1906607000,PH156607000,"7,801"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),SULU,PANGUTARAN,PH1906608000,PH156608000,"6,559"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),SULU,PARANG,PH1906609000,PH156609000,"10,006"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),SULU,PATA,PH1906610000,PH156610000,"3,720"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),SULU,PATIKUL,PH1906611000,PH156611000,"12,270"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),SULU,SIASI,PH1906612000,PH156612000,"12,618"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),SULU,TALIPAO,PH1906613000,PH156613000,"13,934"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),SULU,TAPUL,PH1906614000,PH156614000,"2,768"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),SULU,TONGKIL,PH1906615000,PH156615000,"5,921"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),SULU,PANGLIMA ESTINO (NEW PANAMAO),PH1906616000,PH156616000,"4,554"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),SULU,LUGUS,PH1906617000,PH156617000,"4,935"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),SULU,PANDAMI,PH1906618000,PH156618000,"5,711"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),SULU,OMAR,PH1906619000,PH156619000,"4,792"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,PANGLIMA SUGALA (BALIMBING),PH1907001000,PH157001000,"6,678"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,BONGAO (Capital),PH1907002000,PH157002000,"17,436"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,MAPUN (CAGAYAN DE TAWI-TAWI),PH1907003000,PH157003000,"4,650"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,SIMUNUL,PH1907004000,PH157004000,"5,566"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,SITANGKAI,PH1907005000,PH157005000,"6,272"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,SOUTH UBIAN,PH1907006000,PH157006000,"4,088"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,TANDUBAS,PH1907007000,PH157007000,"5,436"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,TURTLE ISLANDS,PH1907008000,PH157008000,874
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,LANGUYAN,PH1907009000,PH157009000,"5,417"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,SAPA-SAPA,PH1907010000,PH157010000,"4,522"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,SIBUTU,PH1907011000,PH157011000,"4,802"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),INTERIM PROVINCE,CARMEN CLUSTER,PH1999901000,#N/A,"6,482"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),INTERIM PROVINCE,KABACAN CLUSTER,PH1999902000,#N/A,"3,786"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),INTERIM PROVINCE,MIDSAYAP CLUSTER I,PH1999903000,#N/A,"4,845"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),INTERIM PROVINCE,MIDSAYAP CLUSTER II,PH1999904000,#N/A,"3,959"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),INTERIM PROVINCE,PIGCAWAYAN CLUSTER,PH1999905000,#N/A,"3,933"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),INTERIM PROVINCE,PIKIT CLUSTER I,PH1999906000,#N/A,"8,689"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),INTERIM PROVINCE,PIKIT CLUSTER II,PH1999907000,#N/A,"7,973"
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),INTERIM PROVINCE,PIKIT CLUSTER III,PH1999908000,#N/A,"6,203"
